phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
stream,encrypted,false,8388608,random,0,346.305,17527.910,21548.685,8659328
whole,encrypted-signed,true,8388608,random,0,1195.426,31990.408,37716.976,8669568
whole,signed,true,8388608,random,0,20725.824,14907.643,39561.961,8669568
range,encrypted,true,8388608,random,0,314.275,15178.907,18696.696,8659328
whole,plain,false,8388608,random,0,365.185,27451.985,31764.074,8659328
range,encrypted,false,8388608,random,0,247.294,15631.563,19063.101,8659328
range,encrypted-signed,true,8388608,random,0,1057.245,14603.079,18871.398,8669568
whole,signed,false,8388608,random,0,21716.187,14918.654,40241.430,8673664
range,encrypted-signed,false,8388608,random,0,1095.295,13470.614,17776.473,8673664
range,plain,false,8388608,random,0,254.403,9989.627,11829.582,8659328
range,signed,false,8388608,random,0,16240.792,1058.045,19413.436,8673664
stream,encrypted-signed,true,8388608,random,0,1071.695,16425.664,21241.170,8669568
stream,signed,false,8388608,random,0,20519.660,5072.210,28409.728,8673664
whole,encrypted,false,8388608,random,0,310.674,28298.157,33049.722,8659328
whole,plain,true,8388608,random,0,254.374,25296.666,29503.084,8659328
range,plain,true,8388608,random,0,269.034,10007.627,11890.703,8659328
stream,plain,false,8388608,random,0,223.613,10965.120,13307.862,8659328
stream,encrypted-signed,false,8388608,random,0,1053.215,16645.897,21489.904,8673664
range,signed,true,8388608,random,0,20788.424,1063.984,24015.618,8669568
whole,encrypted,true,8388608,random,0,273.974,26795.777,31461.561,8659328
stream,encrypted,true,8388608,random,0,648.089,26054.568,29419.544,8659328
stream,plain,true,8388608,random,0,387.636,15094.947,18817.619,8659328
whole,encrypted-signed,false,8388608,random,0,1450.910,34257.841,40377.215,8673664
stream,signed,true,8388608,random,0,22186.475,4764.275,29068.909,8669568
stream,encrypted,false,8388608,random,0,438.106,17736.244,21981.382,8659328
whole,encrypted-signed,true,8388608,random,0,1282.288,31938.918,37699.198,8669568
whole,signed,true,8388608,random,0,19797.282,14721.632,38445.438,8669568
range,encrypted,true,8388608,random,0,285.833,14332.447,17783.984,8659328
whole,plain,false,8388608,random,0,386.686,25809.334,30195.595,8659328
range,encrypted,false,8388608,random,0,256.804,14569.110,18031.808,8659328
range,encrypted-signed,true,8388608,random,0,1090.675,14409.158,18719.537,8669568
whole,signed,false,8388608,random,0,21025.039,14610.170,39209.048,8673664
range,encrypted-signed,false,8388608,random,0,1064.974,13495.346,17769.484,8673664
range,plain,false,8388608,random,0,241.423,9654.613,11485.618,8659328
range,signed,false,8388608,random,0,15960.659,1048.895,19101.162,8673664
stream,encrypted-signed,true,8388608,random,0,1026.454,16183.632,20992.808,8669568
stream,signed,false,8388608,random,0,20559.093,5222.502,28066.726,8673664
whole,encrypted,false,8388608,random,0,333.055,29530.786,34410.513,8659328
whole,plain,true,8388608,random,0,306.095,26045.498,30417.738,8659328
range,plain,true,8388608,random,0,307.754,9819.035,11815.132,8659328
stream,plain,false,8388608,random,0,257.644,10732.737,13178.611,8659328
stream,encrypted-signed,false,8388608,random,0,1097.695,16498.976,21343.453,8673664
range,signed,true,8388608,random,0,20480.231,1054.855,23650.855,8669568
whole,encrypted,true,8388608,random,0,293.944,28337.730,33611.112,8659328
stream,encrypted,true,8388608,random,0,575.988,27502.018,30810.263,8659328
stream,plain,true,8388608,random,0,413.906,15462.352,18994.921,8659328
whole,encrypted-signed,false,8388608,random,0,1179.886,35063.392,40065.571,8673664
stream,signed,true,8388608,random,0,21841.191,4707.264,28645.894,8669568
stream,encrypted,false,8388608,random,0,336.595,17681.793,21693.979,8659328
whole,encrypted-signed,true,8388608,random,0,1169.906,33395.249,39042.736,8669568
whole,signed,true,8388608,random,0,21006.068,15336.281,40204.602,8669568
range,encrypted,true,8388608,random,0,295.435,15902.298,19311.956,8659328
whole,plain,false,8388608,random,0,328.285,28305.159,32544.847,8659328
range,encrypted,false,8388608,random,0,249.483,15680.216,19114.852,8659328
