key,zip_ms,existing_ms,experimental_ms,existing_ratio,experimental_ratio,zip_min,zip_max,existing_min,existing_max,experimental_min,experimental_max,zip_bytes,existing_bytes,experimental_bytes,zip_open_ms,existing_open_ms,experimental_open_ms
1m-pattern|false|ReadMostly|stream,1.01,9.017,3.2235,8.927,2.908,0.964,1.256,9.012,9.022,2.836,3.611,4194750,4464000,4475264,0.038,0.174,0.17
1m-pattern|false|ReadMostly|random,1.0225,8.5275,3.895,8.339,3.4435,1.001,1.278,8.501,8.554,3.658,4.132,4194750,4464000,4475264,0.0395,0.169,0.157
1m-pattern|false|ReadMostly|range,0.104,8.499,0.531,83.305,5.025,0.1,0.107,8.25,8.748,0.521,0.541,4194750,4464000,4475264,0.0345,0.171,0.129
1m-pattern|true|Interactive|stream,0.8805,1.6885,5.243,1.9215,5.747,0.876,0.945,1.686,1.691,5.139,5.347,56150,297344,301440,0.034,0.15,0.1605
1m-pattern|true|Interactive|random,0.908,1.7885,5.6055,2.001,6.0975,0.887,0.924,1.768,1.809,5.581,5.63,56150,297344,301440,0.0345,0.1505,0.1525
1m-pattern|true|Interactive|range,1.2945,1.6285,5.0965,1.271,3.898,1.272,1.316,1.621,1.636,5.039,5.154,56150,297344,301440,0.0325,0.1495,0.15
1m-pattern|true|ReadMostly|stream,0.904,1.878,5.1315,2.093,5.661,0.888,0.911,1.871,1.885,5.09,5.173,56150,297344,301440,0.033,0.1575,0.1515
1m-pattern|true|ReadMostly|random,0.897,1.958,5.5605,2.1965,6.0815,0.888,0.93,1.956,1.96,5.552,5.569,56150,297344,301440,0.0335,0.1545,0.1495
1m-pattern|true|ReadMostly|range,1.2925,1.7915,5.056,1.3965,3.9,1.27,1.303,1.789,1.794,5.052,5.06,56150,297344,301440,0.0325,0.1515,0.1455
8m-pattern|false|Interactive|stream,8.525,48.7955,22.042,5.5995,2.614,8.308,8.956,48.325,49.266,22.034,22.05,33554878,33832320,33908096,0.049,0.2225,0.1705
8m-pattern|false|Interactive|random,8.4305,48.631,28.5815,5.609,3.4075,8.29,8.988,48.581,48.681,28.542,28.621,33554878,33832320,33908096,0.049,0.2205,0.1655
8m-pattern|false|Interactive|range,0.1055,46.485,0.964,411.749,9.404,0.102,0.118,46.083,46.887,0.913,1.015,33554878,33832320,33908096,0.0365,0.226,0.148
8m-pattern|false|ReadMostly|stream,8.6225,56.3935,22.094,6.4935,2.583,8.339,8.919,55.936,56.851,22.039,22.149,33554878,33832320,33908096,0.0495,0.2205,0.17
