phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
stream,signed,false,8388608,pattern,6,17169.047,4736.950,23978.773,8673664
stream,encrypted,true,8388608,pattern,6,236.913,5144.765,5420.278,312704
range,plain,false,8388608,pattern,6,203.623,5177.045,6927.118,8659328
whole,encrypted,true,8388608,pattern,6,227.793,9511.680,9786.264,312704
whole,encrypted-signed,false,8388608,pattern,6,953.862,25607.894,30840.950,8673664
stream,plain,false,8388608,pattern,6,202.062,15544.277,17813.235,8659328
range,plain,true,8388608,pattern,6,206.633,1207.975,1434.839,312704
stream,encrypted,false,8388608,pattern,6,169.822,15371.975,19071.501,8659328
whole,signed,false,8388608,pattern,6,19331.454,14326.322,37062.669,8673664
stream,signed,true,8388608,pattern,6,7764.218,6410.471,14217.190,322944
whole,encrypted-signed,true,8388608,pattern,6,971.312,10792.396,11812.209,322944
range,signed,false,8388608,pattern,6,15210.312,1025.703,18335.422,8673664
range,signed,true,8388608,pattern,6,7828.489,1140.055,8998.694,322944
range,encrypted,false,8388608,pattern,6,181.433,9579.501,12753.172,8659328
range,encrypted-signed,true,8388608,pattern,6,1003.243,2661.264,3690.377,322944
whole,signed,true,8388608,pattern,6,7615.817,12490.248,20159.955,322944
whole,encrypted,false,8388608,pattern,6,213.313,25324.720,29774.477,8659328
stream,plain,true,8388608,pattern,6,234.233,7924.431,8211.274,312704
whole,plain,true,8388608,pattern,6,192.782,10692.435,10931.748,312704
whole,plain,false,8388608,pattern,7,184.823,19968.742,23882.103,8659328
whole,encrypted-signed,false,8388608,pattern,7,971.723,29428.942,34654.219,8673664
whole,encrypted,false,8388608,pattern,7,238.643,29490.783,33943.139,8659328
range,encrypted-signed,true,8388608,pattern,7,1009.342,2729.445,3767.727,322944
whole,signed,true,8388608,pattern,7,7613.846,12174.874,19840.970,322944
stream,plain,false,8388608,pattern,7,199.253,10022.646,12265.195,8659328
whole,plain,true,8388608,pattern,7,203.662,9244.227,9490.960,312704
range,signed,false,8388608,pattern,7,14967.320,1016.062,18011.048,8673664
stream,plain,true,8388608,pattern,7,206.162,4981.903,5223.036,312704
range,encrypted,false,8388608,pattern,7,205.163,9500.480,12720.631,8659328
stream,encrypted-signed,true,8388608,pattern,7,1024.073,7965.781,9033.824,322944
stream,encrypted,false,8388608,pattern,7,203.772,16881.184,20633.251,8659328
range,encrypted-signed,false,8388608,pattern,7,968.263,13928.486,17973.358,8673664
stream,encrypted-signed,false,8388608,pattern,7,976.143,20244.076,24799.044,8673664
range,plain,false,8388608,pattern,7,209.242,9461.350,11239.642,8659328
stream,signed,false,8388608,pattern,7,15780.049,4823.421,23123.532,8673664
whole,encrypted-signed,true,8388608,pattern,7,1371.567,12550.059,13980.097,322944
range,encrypted,true,8388608,pattern,7,304.583,1747.433,2093.536,312704
whole,signed,false,8388608,pattern,7,16020.672,14483.034,33997.090,8673664
range,signed,true,8388608,pattern,7,8204.003,1191.435,9435.289,322944
stream,encrypted,true,8388608,pattern,7,226.293,6879.967,7145.771,312704
stream,signed,true,8388608,pattern,7,7909.321,5068.304,13025.935,322944
range,plain,true,8388608,pattern,7,225.093,1325.147,1576.560,312704
whole,encrypted,true,8388608,pattern,7,208.133,11564.106,11821.160,312704
whole,plain,true,8388608,pattern,8,227.273,9917.405,10182.309,312704
