corpus,size,level,repeat,strategy,fast_selected,stored_bytes,encode_us,decode_us
random-prefix,1048576,3,1,dual,true,263017,2713.961,446.206
random-prefix,1048576,3,1,sampled,false,267295,869.213,780.542
random-prefix,1048576,3,1,numeric,false,267295,445.717,782.351
random-prefix,1048576,3,2,dual,true,263017,2818.882,444.617
random-prefix,1048576,3,2,sampled,false,267295,876.544,788.482
random-prefix,1048576,3,2,numeric,false,267295,437.407,778.921
random-prefix,1048576,3,2,fast,true,263017,1902.408,794.422
random-prefix,1048576,3,3,sampled,false,267295,671.510,769.902
random-prefix,1048576,3,3,numeric,false,267295,437.946,772.232
random-prefix,1048576,3,3,fast,true,263017,1902.399,791.462
random-prefix,1048576,3,3,dual,true,263017,2718.311,442.857
random-prefix,1048576,3,4,numeric,false,267295,535.238,786.202
random-prefix,1048576,3,4,fast,true,263017,1944.379,804.992
random-prefix,1048576,3,4,dual,true,263017,2706.301,463.647
random-prefix,1048576,3,4,sampled,false,267295,860.613,779.312
random-prefix,1048576,3,5,fast,true,263017,1911.059,796.882
random-prefix,1048576,3,5,dual,true,263017,2677.170,447.307
random-prefix,1048576,3,5,sampled,false,267295,855.273,780.962
random-prefix,1048576,3,5,numeric,false,267295,450.167,775.842
random-prefix,1048576,3,6,dual,true,263017,2813.452,444.487
random-prefix,1048576,3,6,sampled,false,267295,849.883,765.572
random-prefix,1048576,3,6,numeric,false,267295,442.407,769.592
random-prefix,1048576,3,6,fast,true,263017,1904.509,797.532
random-prefix,1048576,3,7,sampled,false,267295,669.510,775.322
random-prefix,1048576,3,7,numeric,false,267295,447.267,769.451
random-prefix,1048576,3,7,fast,true,263017,1872.038,812.632
random-prefix,1048576,3,7,dual,true,263017,2685.681,443.346
