corpus,size,level,repeat,strategy,fast_selected,stored_bytes,encode_us,decode_us
pattern-prefix,1048576,6,1,fast,true,787263,812.542,149.603
pattern-prefix,1048576,6,1,dual,true,787263,1699.756,148.812
pattern-prefix,1048576,6,1,sampled,false,788516,725.351,197.833
pattern-prefix,1048576,6,1,numeric,false,788516,474.057,196.873
pattern-prefix,1048576,6,2,dual,true,787263,1714.796,151.872
pattern-prefix,1048576,6,2,sampled,false,788516,718.081,201.403
pattern-prefix,1048576,6,2,numeric,false,788516,469.907,197.373
pattern-prefix,1048576,6,2,fast,true,787263,854.133,167.243
pattern-prefix,1048576,6,3,sampled,false,788516,732.242,196.972
pattern-prefix,1048576,6,3,numeric,false,788516,463.647,223.974
pattern-prefix,1048576,6,3,fast,true,787263,808.022,154.013
pattern-prefix,1048576,6,3,dual,true,787263,1703.115,148.772
pattern-prefix,1048576,6,4,numeric,false,788516,469.637,197.153
pattern-prefix,1048576,6,4,fast,true,787263,792.652,151.762
pattern-prefix,1048576,6,4,dual,true,787263,1783.737,151.842
pattern-prefix,1048576,6,4,sampled,false,788516,734.081,197.523
pattern-prefix,1048576,6,5,fast,true,787263,803.022,161.962
pattern-prefix,1048576,6,5,dual,true,787263,1696.045,153.973
pattern-prefix,1048576,6,5,sampled,false,788516,720.641,196.533
pattern-prefix,1048576,6,5,numeric,false,788516,477.437,197.043
pattern-prefix,1048576,6,6,dual,true,787263,1699.735,147.993
pattern-prefix,1048576,6,6,sampled,false,788516,719.371,195.933
pattern-prefix,1048576,6,6,numeric,false,788516,466.167,194.773
pattern-prefix,1048576,6,6,fast,true,787263,782.272,148.712
pattern-prefix,1048576,6,7,sampled,false,788516,720.611,199.103
pattern-prefix,1048576,6,7,numeric,false,788516,477.877,198.173
pattern-prefix,1048576,6,7,fast,true,787263,794.202,150.502
pattern-prefix,1048576,6,7,dual,true,787263,1694.195,148.783
random-prefix,1048576,6,1,fast,true,263017,1840.527,149.123
random-prefix,1048576,6,1,dual,true,263017,2618.639,148.422
random-prefix,1048576,6,1,sampled,false,268271,845.373,339.095
random-prefix,1048576,6,1,numeric,false,268271,507.888,406.246
random-prefix,1048576,6,2,dual,true,263017,2660.210,157.182
random-prefix,1048576,6,2,sampled,false,268271,835.633,338.885
random-prefix,1048576,6,2,numeric,false,268271,517.128,359.936
random-prefix,1048576,6,2,fast,true,263017,1862.278,150.522
random-prefix,1048576,6,3,sampled,false,268271,838.813,341.385
random-prefix,1048576,6,3,numeric,false,268271,508.028,343.815
random-prefix,1048576,6,3,fast,true,263017,1911.309,155.053
random-prefix,1048576,6,3,dual,true,263017,2628.569,152.243
random-prefix,1048576,6,4,numeric,false,268271,518.878,344.965
random-prefix,1048576,6,4,fast,true,263017,1818.367,149.882
