scenario,position,variant,files,bytes_per_file,compressed,mode,profile,access,zip_ms,lockbox_ms,lockbox_over_zip,zip_open_ms,zip_read_ms,lockbox_open_ms,lockbox_read_ms,zip_bytes,lockbox_bytes,corpus
8m-random,2,experimental,4,8388608,false,plain,ReadMostly,random,8.493,28.608,3.368,0.050,8.439,0.166,28.420,33554878,33908096,random
8m-random,2,experimental,4,8388608,false,plain,ReadMostly,range,0.107,0.907,8.511,0.037,0.069,0.134,0.761,33554878,33908096,random
8m-random,2,experimental,4,8388608,true,plain,Interactive,stream,18.074,22.529,1.246,0.047,18.022,0.215,22.240,33565138,33906048,random
8m-random,2,experimental,4,8388608,true,plain,Interactive,random,17.769,29.129,1.639,0.046,17.718,0.199,28.882,33565138,33906048,random
8m-random,2,experimental,4,8388608,true,plain,Interactive,range,24.410,1.001,0.041,0.036,24.362,0.167,0.824,33565138,33906048,random
8m-random,2,experimental,4,8388608,true,plain,ReadMostly,stream,17.821,22.846,1.282,0.044,17.772,0.209,22.611,33565138,33906048,random
8m-random,2,experimental,4,8388608,true,plain,ReadMostly,random,19.934,29.333,1.472,0.049,19.876,0.199,29.114,33565138,33906048,random
8m-random,2,experimental,4,8388608,true,plain,ReadMostly,range,24.526,0.998,0.041,0.036,24.482,0.168,0.821,33565138,33906048,random
8m-random,3,experimental,4,8388608,false,plain,Interactive,stream,9.449,23.228,2.458,0.053,9.389,0.173,23.029,33554878,33908096,random
8m-random,3,experimental,4,8388608,false,plain,Interactive,random,10.252,30.417,2.967,0.058,10.191,0.181,30.205,33554878,33908096,random
8m-random,3,experimental,4,8388608,false,plain,Interactive,range,0.124,0.980,7.918,0.041,0.079,0.149,0.821,33554878,33908096,random
8m-random,3,experimental,4,8388608,false,plain,ReadMostly,stream,10.183,24.069,2.364,0.056,10.115,0.203,23.849,33554878,33908096,random
8m-random,3,experimental,4,8388608,false,plain,ReadMostly,random,10.465,30.453,2.910,0.061,10.398,0.190,30.241,33554878,33908096,random
8m-random,3,experimental,4,8388608,false,plain,ReadMostly,range,0.118,0.965,8.166,0.040,0.077,0.152,0.802,33554878,33908096,random
8m-random,3,experimental,4,8388608,true,plain,Interactive,stream,19.493,23.333,1.197,0.052,19.435,0.207,23.099,33565138,33906048,random
8m-random,3,experimental,4,8388608,true,plain,Interactive,random,19.305,30.898,1.600,0.053,19.254,0.207,30.664,33565138,33906048,random
8m-random,3,experimental,4,8388608,true,plain,Interactive,range,26.883,1.006,0.037,0.056,26.814,0.158,0.835,33565138,33906048,random
8m-random,3,experimental,4,8388608,true,plain,ReadMostly,stream,19.910,24.603,1.236,0.056,19.846,0.216,24.290,33565138,33906048,random
8m-random,3,experimental,4,8388608,true,plain,ReadMostly,random,19.025,29.290,1.540,0.055,18.973,0.189,29.077,33565138,33906048,random
8m-random,3,experimental,4,8388608,true,plain,ReadMostly,range,25.798,0.991,0.038,0.052,25.746,0.157,0.824,33565138,33906048,random
8m-random,4,existing,4,8388608,false,plain,Interactive,stream,8.522,49.821,5.846,0.049,8.462,0.225,46.639,33554878,33832320,random
8m-random,4,existing,4,8388608,false,plain,Interactive,random,9.571,50.580,5.285,0.048,9.517,0.241,46.864,33554878,33832320,random
8m-random,4,existing,4,8388608,false,plain,Interactive,range,0.122,48.932,401.700,0.043,0.078,0.243,45.295,33554878,33832320,random
8m-random,4,existing,4,8388608,false,plain,ReadMostly,stream,9.250,61.173,6.613,0.056,9.188,0.233,54.337,33554878,33832320,random
8m-random,4,existing,4,8388608,false,plain,ReadMostly,random,9.973,45.657,4.578,0.059,9.906,0.249,43.152,33554878,33832320,random
8m-random,4,existing,4,8388608,false,plain,ReadMostly,range,0.122,42.738,349.135,0.043,0.078,0.242,40.329,33554878,33832320,random
8m-random,4,existing,4,8388608,true,plain,Interactive,stream,18.234,46.477,2.549,0.050,18.179,0.283,43.984,33565138,33831296,random
8m-random,4,existing,4,8388608,true,plain,Interactive,random,17.847,44.166,2.475,0.050,17.793,0.279,41.976,33565138,33831296,random
8m-random,4,existing,4,8388608,true,plain,Interactive,range,24.677,42.939,1.740,0.049,24.601,0.280,40.396,33565138,33831296,random
8m-random,4,existing,4,8388608,true,plain,ReadMostly,stream,20.072,62.192,3.098,0.054,20.012,0.266,54.277,33565138,33831296,random
8m-random,4,existing,4,8388608,true,plain,ReadMostly,random,20.261,44.953,2.219,0.055,20.202,0.278,42.708,33565138,33831296,random
8m-random,4,existing,4,8388608,true,plain,ReadMostly,range,28.153,41.814,1.485,0.049,28.098,0.266,39.522,33565138,33831296,random
