corpus,size,level,repeat,strategy,fast_selected,stored_bytes,encode_us,decode_us
pattern-prefix,1048576,3,4,fast,true,787263,1016.366,875.043
pattern-prefix,1048576,3,4,dual,true,787263,3366.390,524.888
pattern-prefix,1048576,3,4,sampled,false,788562,1913.029,676.310
pattern-prefix,1048576,3,5,stream-better,true,788350,1122.447,907.844
pattern-prefix,1048576,3,5,numeric,false,788562,1659.995,666.790
pattern-prefix,1048576,3,5,fast,true,787263,990.725,857.633
pattern-prefix,1048576,3,5,dual,true,787263,3341.310,501.928
pattern-prefix,1048576,3,5,sampled,false,788562,1891.329,675.440
pattern-prefix,1048576,3,5,stream-default,true,788350,1128.177,909.684
pattern-prefix,1048576,3,6,numeric,false,788562,1645.455,675.010
pattern-prefix,1048576,3,6,fast,true,787263,990.375,854.963
pattern-prefix,1048576,3,6,dual,true,787263,3356.650,503.278
pattern-prefix,1048576,3,6,sampled,false,788562,1909.789,679.590
pattern-prefix,1048576,3,6,stream-default,true,788350,1128.347,893.983
pattern-prefix,1048576,3,6,stream-better,true,788350,1482.962,944.605
pattern-prefix,1048576,3,7,fast,true,787263,1381.200,887.014
pattern-prefix,1048576,3,7,dual,true,787263,3351.610,502.698
pattern-prefix,1048576,3,7,sampled,false,788562,1887.278,683.480
pattern-prefix,1048576,3,7,stream-default,true,788350,1126.537,922.443
pattern-prefix,1048576,3,7,stream-better,true,788350,1486.573,901.773
pattern-prefix,1048576,3,7,numeric,false,788562,1656.505,674.140
random-prefix,1048576,3,1,fast,true,263017,1815.737,796.862
random-prefix,1048576,3,1,dual,true,263017,2708.021,443.707
random-prefix,1048576,3,1,sampled,false,267295,857.463,777.831
random-prefix,1048576,3,1,stream-default,true,264939,2019.421,841.763
random-prefix,1048576,3,1,stream-better,true,264939,1996.340,839.803
random-prefix,1048576,3,1,numeric,false,267295,324.965,949.564
random-prefix,1048576,3,2,dual,true,263017,2533.588,422.027
random-prefix,1048576,3,2,sampled,false,267295,673.290,964.064
random-prefix,1048576,3,2,stream-default,true,264939,1962.180,737.391
random-prefix,1048576,3,2,stream-better,true,264939,1972.730,844.833
random-prefix,1048576,3,2,numeric,false,267295,318.854,962.365
random-prefix,1048576,3,2,fast,true,263017,1770.406,640.020
random-prefix,1048576,3,3,sampled,false,267295,631.190,961.204
random-prefix,1048576,3,3,stream-default,true,264939,1959.460,723.671
random-prefix,1048576,3,3,stream-better,true,264939,1981.120,855.183
random-prefix,1048576,3,3,numeric,false,267295,331.595,976.605
random-prefix,1048576,3,3,fast,true,263017,1739.216,632.630
random-prefix,1048576,3,3,dual,true,263017,2740.322,466.637
random-prefix,1048576,3,4,stream-default,true,264939,2107.142,848.502
random-prefix,1048576,3,4,stream-better,true,264939,2002.700,856.243
random-prefix,1048576,3,4,numeric,false,267295,321.965,957.845
random-prefix,1048576,3,4,fast,true,263017,1754.567,642.380
random-prefix,1048576,3,4,dual,true,263017,2709.830,416.727
random-prefix,1048576,3,4,sampled,false,267295,675.160,950.705
random-prefix,1048576,3,5,stream-better,true,264939,1943.189,707.851
random-prefix,1048576,3,5,numeric,false,267295,324.275,950.654
random-prefix,1048576,3,5,fast,true,263017,1741.986,640.160
random-prefix,1048576,3,5,dual,true,263017,2693.001,415.766
random-prefix,1048576,3,5,sampled,false,267295,691.170,947.704
random-prefix,1048576,3,5,stream-default,true,264939,1950.910,714.971
random-prefix,1048576,3,6,numeric,false,267295,319.745,949.324
