phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
whole,plain,true,8388608,random,8,301.974,25603.275,29962.152,8659328
stream,signed,true,8388608,random,8,20500.239,4778.552,27398.929,8669568
whole,signed,false,8388608,random,8,16186.402,15216.439,35100.219,8673664
whole,encrypted,false,8388608,random,8,247.093,29846.381,34681.654,8659328
whole,plain,false,8388608,random,8,217.952,26057.261,30377.307,8659328
stream,plain,true,8388608,random,8,256.803,15217.209,17589.280,8659328
stream,encrypted-signed,false,8388608,random,8,996.163,16584.316,21412.720,8673664
stream,encrypted,false,8388608,random,8,235.763,21343.689,25462.063,8659328
range,encrypted,false,8388608,random,8,244.913,14893.475,18448.571,8659328
range,encrypted-signed,false,8388608,random,8,1029.103,14882.495,19201.041,8673664
whole,signed,true,8388608,random,8,20421.917,14755.373,39205.832,8669568
range,plain,true,8388608,random,8,258.164,9956.850,11811.665,8659328
range,signed,false,8388608,random,8,16202.081,1052.424,19468.864,8673664
range,signed,true,8388608,random,8,16218.272,1042.564,19373.543,8669568
whole,encrypted,true,8388608,random,8,258.413,26773.521,31586.443,8659328
range,encrypted,true,8388608,random,8,246.703,14862.564,18354.230,8659328
stream,encrypted-signed,true,8388608,random,8,1050.124,21332.289,26202.173,8669568
range,encrypted-signed,true,8388608,random,8,1067.004,14972.836,19345.823,8669568
whole,encrypted-signed,true,8388608,random,8,1064.234,31304.799,36969.723,8669568
stream,plain,false,8388608,random,8,211.343,15477.692,17860.763,8659328
range,plain,false,8388608,random,8,213.653,5781.596,7596.480,8659328
stream,encrypted,true,8388608,random,8,268.484,16893.801,20977.835,8659328
stream,signed,false,8388608,random,8,20530.969,4844.203,27529.600,8673664
whole,encrypted-signed,false,8388608,random,8,1028.243,26873.482,32462.984,8673664
range,encrypted,false,8388608,random,9,239.273,14890.875,18425.331,8659328
range,plain,true,8388608,random,9,284.944,10039.551,11918.036,8659328
range,plain,false,8388608,random,9,205.993,5756.865,7540.179,8659328
stream,encrypted,false,8388608,random,9,224.883,16909.071,20990.425,8659328
whole,encrypted,true,8388608,random,9,259.514,31552.182,36408.667,8659328
whole,encrypted-signed,false,8388608,random,9,1009.124,31414.360,37003.904,8673664
range,encrypted,true,8388608,random,9,260.034,15262.889,19901.110,8659328
stream,signed,false,8388608,random,9,23745.771,5354.710,32039.649,8673664
whole,signed,true,8388608,random,9,18280.119,21235.048,45048.589,8669568
stream,encrypted,true,8388608,random,9,363.765,22073.638,26189.862,8659328
stream,encrypted-signed,true,8388608,random,9,1137.285,21568.552,26517.667,8669568
range,encrypted-signed,false,8388608,random,9,1071.344,15018.276,19293.572,8673664
range,signed,true,8388608,random,9,20604.949,1054.174,23809.501,8669568
stream,signed,true,8388608,random,9,16585.007,4916.144,23664.060,8669568
stream,encrypted-signed,false,8388608,random,9,1080.664,17389.527,22191.760,8673664
whole,plain,true,8388608,random,9,363.724,26108.362,30396.447,8659328
range,signed,false,8388608,random,9,20839.653,1051.294,24023.534,8673664
whole,signed,false,8388608,random,9,16523.326,14980.796,35061.459,8673664
stream,plain,false,8388608,random,9,272.123,14135.325,16566.276,8659328
whole,plain,false,8388608,random,9,208.103,21384.019,25555.904,8659328
stream,plain,true,8388608,random,9,242.793,15233.669,17634.081,8659328
whole,encrypted,false,8388608,random,9,297.733,26856.292,31610.253,8659328
