phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
stream,encrypted-signed,false,8388608,pattern,8,1107.434,19807.202,24701.415,8673664
stream,encrypted,false,8388608,pattern,8,297.824,21485.163,25576.316,8659328
range,encrypted,false,8388608,pattern,8,236.153,15067.841,18597.836,8659328
range,encrypted-signed,false,8388608,pattern,8,1012.803,14906.710,19205.925,8673664
whole,signed,true,8388608,pattern,8,9016.825,12437.988,21510.504,284032
range,plain,true,8388608,pattern,8,253.393,980.133,1245.556,273792
range,signed,false,8388608,pattern,8,17108.258,1053.673,20371.229,8673664
range,signed,true,8388608,pattern,8,7170.652,879.701,8093.933,284032
whole,encrypted,true,8388608,pattern,8,350.064,9605.473,9998.227,273792
range,encrypted,true,8388608,pattern,8,234.753,976.392,1226.386,273792
stream,encrypted-signed,true,8388608,pattern,8,1146.685,4404.006,5594.431,284032
range,encrypted-signed,true,8388608,pattern,8,1017.733,1051.463,2086.886,284032
whole,encrypted-signed,true,8388608,pattern,8,944.982,9470.280,10467.863,284032
stream,plain,false,8388608,pattern,8,350.604,12420.708,14940.180,8659328
range,plain,false,8388608,pattern,8,230.573,6006.276,7853.430,8659328
stream,encrypted,true,8388608,pattern,8,273.333,4941.413,5261.477,273792
stream,signed,false,8388608,pattern,8,17526.083,4982.703,24681.924,8673664
whole,encrypted-signed,false,8388608,pattern,8,1168.695,28663.735,34430.858,8673664
range,encrypted,false,8388608,pattern,9,364.724,15210.434,18704.178,8659328
range,plain,true,8388608,pattern,9,332.884,2704.934,3054.028,273792
range,plain,false,8388608,pattern,9,247.313,8014.622,9823.625,8659328
stream,encrypted,false,8388608,pattern,9,205.632,16250.067,20270.508,8659328
whole,encrypted,true,8388608,pattern,9,264.164,13384.230,13693.895,273792
whole,encrypted-signed,false,8388608,pattern,9,999.612,26175.534,31618.612,8673664
range,encrypted,true,8388608,pattern,9,239.723,2775.855,3036.068,273792
stream,signed,false,8388608,pattern,9,18001.519,4704.220,24796.445,8673664
whole,signed,true,8388608,pattern,9,6915.828,8845.283,15803.931,284032
stream,encrypted,true,8388608,pattern,9,231.613,3838.729,4095.652,273792
stream,encrypted-signed,true,8388608,pattern,9,1129.144,3817.039,4972.563,284032
range,encrypted-signed,false,8388608,pattern,9,952.802,9499.901,13622.003,8673664
range,signed,true,8388608,pattern,9,8610.839,833.651,9465.230,284032
stream,signed,true,8388608,pattern,9,6701.755,5471.320,12216.865,284032
stream,encrypted-signed,false,8388608,pattern,9,966.812,17062.167,21726.686,8673664
whole,plain,true,8388608,pattern,9,230.303,13342.130,13612.433,273792
range,signed,false,8388608,pattern,9,15182.564,1034.463,18353.934,8673664
whole,signed,false,8388608,pattern,9,15106.942,14292.202,32948.039,8673664
stream,plain,false,8388608,pattern,9,217.603,13390.710,15687.040,8659328
whole,plain,false,8388608,pattern,9,180.583,20406.929,24497.252,8659328
stream,plain,true,8388608,pattern,9,240.953,6633.755,6904.248,273792
whole,encrypted,false,8388608,pattern,9,202.303,27846.195,32492.544,8659328
range,encrypted-signed,true,8388608,pattern,9,1046.653,2748.795,3816.299,284032
whole,encrypted-signed,true,8388608,pattern,9,953.002,11708.719,12704.062,284032
whole,plain,false,8388608,pattern,10,200.162,20129.637,24610.433,8659328
stream,plain,false,8388608,pattern,10,287.094,15282.904,17725.156,8659328
range,encrypted,false,8388608,pattern,10,214.893,10032.498,13394.701,8659328
whole,encrypted,false,8388608,pattern,10,208.802,30241.945,34894.654,8659328
stream,encrypted-signed,true,8388608,pattern,10,1033.583,6622.704,7690.048,284032
range,plain,false,8388608,pattern,10,202.143,6959.119,8712.801,8659328
stream,encrypted-signed,false,8388608,pattern,10,953.622,15762.051,20415.100,8673664
whole,encrypted-signed,true,8388608,pattern,10,1013.343,13255.539,14315.213,284032
stream,encrypted,false,8388608,pattern,10,215.163,15511.978,19420.428,8659328
range,encrypted-signed,true,8388608,pattern,10,1021.993,2707.025,3748.228,284032
range,plain,true,8388608,pattern,10,179.143,849.520,1039.873,273792
whole,signed,true,8388608,pattern,10,6701.045,11475.176,18223.602,284032
stream,signed,true,8388608,pattern,10,6805.336,3946.931,10794.497,284032
stream,plain,true,8388608,pattern,10,228.513,4221.483,4478.267,273792
range,signed,false,8388608,pattern,10,16030.834,1050.134,19206.055,8673664
range,encrypted,true,8388608,pattern,10,223.692,971.403,1208.385,273792
whole,signed,false,8388608,pattern,10,15581.689,14339.512,33497.647,8673664
range,encrypted-signed,false,8388608,pattern,10,1013.412,12843.874,16989.806,8673664
whole,encrypted,true,8388608,pattern,10,224.142,13209.869,13471.461,273792
range,signed,true,8388608,pattern,10,6748.586,834.751,7599.057,284032
whole,encrypted-signed,false,8388608,pattern,10,934.082,25925.660,31328.379,8673664
stream,signed,false,8388608,pattern,10,20178.487,4760.961,27035.204,8673664
stream,encrypted,true,8388608,pattern,10,225.723,3955.130,4206.954,273792
whole,plain,true,8388608,pattern,10,203.593,8882.713,9123.736,273792
