size,block,encrypted,signed,compressed,repeat,bytes,write_us,open_us,whole_us,range_us,compression_requested,storage,corpus
4194304,262144,false,true,false,5,4194933,6614.417,4792.430,2469.556,249.014,false,file,pattern
4194304,262144,true,true,false,1,4195205,12288.959,7368.908,5004.523,410.036,false,file,pattern
4194304,262144,true,true,false,2,4195205,12828.148,7357.657,4949.272,400.266,false,file,pattern
4194304,262144,true,true,false,3,4195205,14988.319,7511.580,4922.882,387.935,false,file,pattern
4194304,262144,true,true,false,4,4195205,12397.021,7360.548,5033.643,426.536,false,file,pattern
4194304,262144,true,true,false,5,4195205,12421.622,7478.979,5022.323,409.116,false,file,pattern
4194304,262144,false,false,true,1,26383,6610.567,28.760,3236.218,5184.436,true,file,pattern
4194304,262144,false,false,true,2,26383,6326.352,25.730,2812.092,4664.208,true,file,pattern
4194304,262144,false,false,true,3,26383,6677.068,19.670,2796.201,4851.171,true,file,pattern
4194304,262144,false,false,true,4,26383,6290.612,19.340,2556.227,4363.704,true,file,pattern
4194304,262144,false,false,true,5,26383,6396.284,24.220,3317.379,5309.948,true,file,pattern
4194304,262144,true,false,true,1,26415,6397.284,23.420,2851.292,4473.895,true,file,pattern
4194304,262144,true,false,true,2,26415,6072.289,22.700,2476.166,4372.024,true,file,pattern
4194304,262144,true,false,true,3,26415,6042.499,23.140,2494.996,4516.936,true,file,pattern
4194304,262144,true,false,true,4,26415,6736.298,25.391,2755.510,4679.628,true,file,pattern
4194304,262144,true,false,true,5,26415,6148.340,22.890,2620.799,4456.875,true,file,pattern
4194304,262144,false,true,true,1,26383,6087.509,5198.646,1488.332,4378.254,true,file,pattern
4194304,262144,false,true,true,2,26383,6177.970,4635.108,1488.042,4406.454,true,file,pattern
4194304,262144,false,true,true,3,26383,6085.329,4604.857,1490.872,4319.683,true,file,pattern
4194304,262144,false,true,true,4,26383,6146.920,4772.349,1511.962,4377.274,true,file,pattern
4194304,262144,false,true,true,5,26383,6082.069,4636.938,1496.842,4376.554,true,file,pattern
4194304,262144,true,true,true,1,26415,6158.240,5039.614,1917.048,4796.780,true,file,pattern
4194304,262144,true,true,true,2,26415,6563.056,5122.265,1785.146,4646.688,true,file,pattern
4194304,262144,true,true,true,3,26415,6484.035,5291.987,1838.907,4659.048,true,file,pattern
4194304,262144,true,true,true,4,26415,6402.113,5171.196,1820.326,4767.470,true,file,pattern
4194304,262144,true,true,true,5,26415,6451.434,5222.197,1756.875,4732.679,true,file,pattern
