phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
range,encrypted,false,8388608,random,7,218.883,9500.984,11727.693,8659328
stream,encrypted-signed,true,8388608,random,7,1053.334,19519.345,22673.396,8669568
stream,encrypted,false,8388608,random,7,231.753,19759.518,22236.460,8659328
range,encrypted-signed,false,8388608,random,7,1024.773,13942.522,17376.906,8673664
stream,encrypted-signed,false,8388608,random,7,1034.714,19598.535,22726.687,8673664
range,plain,false,8388608,random,7,206.453,10160.563,10697.320,8659328
stream,signed,false,8388608,random,7,16740.838,4847.234,22045.448,8673664
whole,encrypted-signed,true,8388608,random,7,1147.905,22749.377,26581.537,8669568
range,encrypted,true,8388608,random,7,257.223,13925.302,16271.232,8659328
whole,signed,false,8388608,random,7,20779.361,13029.760,35854.958,8673664
range,signed,true,8388608,random,7,19206.751,1049.793,20669.120,8669568
stream,encrypted,true,8388608,random,7,237.584,14885.734,17082.513,8659328
stream,signed,true,8388608,random,7,20717.400,4855.844,26012.119,8669568
range,plain,true,8388608,random,7,237.854,5789.355,6390.034,8659328
whole,encrypted,true,8388608,random,7,317.874,22144.719,25057.887,8659328
whole,plain,true,8388608,random,8,244.834,23756.920,26069.371,8659328
stream,signed,true,8388608,random,8,19353.393,4981.745,24728.493,8669568
whole,signed,false,8388608,random,8,16444.604,13257.653,31753.154,8673664
whole,encrypted,false,8388608,random,8,241.343,25043.617,27943.895,8659328
whole,plain,false,8388608,random,8,222.773,24172.056,26482.646,8659328
stream,plain,true,8388608,random,8,246.333,13971.073,14706.802,8659328
stream,encrypted-signed,false,8388608,random,8,1017.593,14779.623,17964.774,8673664
stream,encrypted,false,8388608,random,8,239.923,19692.487,22082.108,8659328
range,encrypted,false,8388608,random,8,229.613,13414.995,15873.577,8659328
range,encrypted-signed,false,8388608,random,8,1032.023,14053.214,17045.922,8673664
whole,signed,true,8388608,random,8,20678.610,13368.394,36463.466,8669568
range,plain,true,8388608,random,8,247.783,10061.231,10657.999,8659328
range,signed,false,8388608,random,8,16395.793,1056.614,17904.763,8673664
