symbol	domain	return_type	arguments
vault_directory_profile_email	vault.directory	RevaultBuffer	const void *handle, const char *name, size_t name_len
vault_directory_store_backup	vault.directory	bool	const void *handle, const uint8_t *id, size_t id_len, const uint8_t *bytes, size_t len
vault_directory_load_backup	vault.directory	RevaultBuffer	const void *handle, const uint8_t *id, size_t id_len
vault_directory_backup_count	vault.directory	uint64_t	const void *handle
vault_directory_restore_private_key	vault.directory	bool	const void *handle, const char *name, size_t name_len, const void *key, const void *signing_key, bool overwrite
vault_directory_load_owner_signing_key	vault.directory	void *	const void *handle, const char *name, size_t name_len
vault_directory_load_owner_signing_key_generation	vault.directory	void *	const void *handle, const char *name, size_t name_len, uint16_t index
vault_directory_store_contact_signing_key	vault.directory	bool	const void *handle, const char *name, size_t name_len, const void *key
vault_directory_load_contact_signing_key	vault.directory	void *	const void *handle, const char *name, size_t name_len
vault_directory_list_profile_generations	vault.directory	RevaultBuffer	const void *handle, const char *name, size_t name_len
vault_directory_rotate_private_key	vault.directory	RevaultBuffer	const void *handle, const char *name, size_t name_len
vault_directory_remember_lockbox	vault.directory	bool	const void *handle, const uint8_t *id, size_t id_len, const char *path, size_t path_len
vault_directory_list_known_lockboxes	vault.directory	RevaultBuffer	const void *handle
vault_directory_forget_lockbox	vault.directory	bool	const void *handle, const char *path, size_t path_len
vault_directory_remember_access_slot_label	vault.directory	bool	const void *handle, const uint8_t *id, size_t id_len, uint64_t slot_id, const char *name, size_t name_len
vault_directory_list_access_slot_labels	vault.directory	RevaultBuffer	const void *handle, const uint8_t *id, size_t id_len
vault_directory_find_access_slot_labels	vault.directory	RevaultBuffer	const void *handle, const uint8_t *id, size_t id_len, const char *name, size_t name_len
vault_directory_forget_access_slot_label	vault.directory	bool	const void *handle, const uint8_t *id, size_t id_len, uint64_t slot_id
vault_directory_define_form	vault.directory	RevaultBuffer	const void *handle, const char *alias, size_t alias_len, const char *name, size_t name_len, const char *description, size_t description_len, const uint8_t *fields_proto, size_t fields_len
vault_directory_resolve_form	vault.directory	RevaultBuffer	const void *handle, const char *reference, size_t reference_len
vault_directory_list_forms	vault.directory	RevaultBuffer	const void *handle
vault_directory_list_form_revisions	vault.directory	RevaultBuffer	const void *handle, const char *type_id, size_t type_id_len
vault_directory_seed_forms	vault.directory	size_t	const void *handle
vault_directory_remember_password	vault.directory	bool	const void *handle, const uint8_t *id, size_t id_len, const uint8_t *password, size_t password_len
vault_directory_remembered_password	vault.directory	RevaultBuffer	const void *handle, const uint8_t *id, size_t id_len
vault_backup_default	vault.local	RevaultBuffer	const char *path, size_t path_len, bool overwrite
vault_restore_default	vault.local	RevaultBuffer	const char *path, size_t path_len, bool overwrite
vault_directory_free	vault.directory	void	void *handle
vault_read_only_open	vault.local	void *	const char *root, size_t root_len, const uint8_t *password, size_t password_len
vault_read_only_open_default	vault.local	void *	const uint8_t *password, size_t password_len
